CC: 28671	 Percentage 3.17076407551
CD: 17440	 Percentage 1.92871282749
DT: 92527	 Percentage 10.2326841622
EX: 1417	 Percentage 0.156707917233
FW: 1	 Percentage 0.000110591331851
IN: 110545	 Percentage 12.2253187795
JJ: 64812	 Percentage 7.16764539995
JJR: 3407	 Percentage 0.376784667618
JJS: 2318	 Percentage 0.256350707232
LS: 25	 Percentage 0.00276478329629
MD: 11406	 Percentage 1.2614047311
NN: 137915	 Percentage 15.2522035323
NNS: 52981	 Percentage 5.85923935282
NNP: 123618	 Percentage 13.6710792608
NNPS: 4114	 Percentage 0.454972739237
PDT: 137	 Percentage 0.0151510124636
POS: 6331	 Percentage 0.700153721951
PRP: 0	 Percentage 0.0
PRP$: 29587	 Percentage 3.27206573549
RB: 37305	 Percentage 4.12560963472
RBR: 1758	 Percentage 0.194419561395
RBS: 506	 Percentage 0.0559592139168
RP: 2807	 Percentage 0.310429868507
SYM: 0	 Percentage 0.0
TO: 26050	 Percentage 2.88090419473
UH: 10	 Percentage 0.00110591331851
VB: 31143	 Percentage 3.44414584785
VBD: 26938	 Percentage 2.97910929741
VBG: 16740	 Percentage 1.85129889519
VBN: 19959	 Percentage 2.20729239242
VBP: 16578	 Percentage 1.83338309943
VBZ: 23170	 Percentage 2.562401159
WDT: 4741	 Percentage 0.524313504308
WP: 5264	 Percentage 0.582152770866
WP$: 0	 Percentage 0.0
WRB: 4009	 Percentage 0.443360649392
