CC: 32576	 Percentage 2.94498139046
CD: 43944	 Percentage 3.97268732264
DT: 104720	 Percentage 9.46704479398
EX: 1912	 Percentage 0.17285131442
FW: 0	 Percentage 0.0
IN: 129322	 Percentage 11.691149416
JJ: 69929	 Percentage 6.32181985675
JJR: 2783	 Percentage 0.251592682025
JJS: 2809	 Percentage 0.25394317061
LS: 47	 Percentage 0.00424896013481
MD: 11763	 Percentage 1.06341527799
NN: 157998	 Percentage 14.2835575187
NNS: 49557	 Percentage 4.48012164682
NNP: 186697	 Percentage 16.8780448998
NNPS: 1886	 Percentage 0.170500825835
PDT: 189	 Percentage 0.0170862439464
POS: 9887	 Percentage 0.893818486231
PRP: 0	 Percentage 0.0
PRP$: 43870	 Percentage 3.96599747051
RB: 46004	 Percentage 4.15891834131
RBR: 1437	 Percentage 0.129909696037
RBS: 477	 Percentage 0.043122425198
RP: 5051	 Percentage 0.456627609381
SYM: 0	 Percentage 0.0
TO: 27622	 Percentage 2.49712291157
UH: 3	 Percentage 0.000271210221371
VB: 33230	 Percentage 3.00410521872
VBD: 35966	 Percentage 3.25144894061
VBG: 20044	 Percentage 1.81204589239
VBN: 23574	 Percentage 2.13116991953
VBP: 18812	 Percentage 1.70066889481
VBZ: 30864	 Percentage 2.79021075746
WDT: 3460	 Percentage 0.312795788648
WP: 5148	 Percentage 0.465396739872
WP$: 0	 Percentage 0.0
WRB: 4572	 Percentage 0.413324377369
