CC: 30049	 Percentage 3.57636781281
CD: 17523	 Percentage 2.08555004106
DT: 82099	 Percentage 9.77124766427
EX: 1686	 Percentage 0.200664119684
FW: 8	 Percentage 0.000952142916652
IN: 99145	 Percentage 11.8000261839
JJ: 60971	 Percentage 7.2566382214
JJR: 3807	 Percentage 0.453101010462
JJS: 2210	 Percentage 0.263029480725
LS: 23	 Percentage 0.00273741088537
MD: 12167	 Percentage 1.44809035836
NN: 138391	 Percentage 16.4710012973
NNS: 57544	 Percentage 6.84876399948
NNP: 85633	 Percentage 10.1918567977
NNPS: 785	 Percentage 0.0934290236965
PDT: 101	 Percentage 0.0120208043227
POS: 5591	 Percentage 0.665428880875
PRP: 0	 Percentage 0.0
PRP$: 29729	 Percentage 3.53828209614
RB: 37153	 Percentage 4.4218707228
RBR: 1825	 Percentage 0.217207602861
RBS: 457	 Percentage 0.0543911641137
RP: 3049	 Percentage 0.362885469109
SYM: 0	 Percentage 0.0
TO: 25174	 Percentage 2.99615572297
UH: 4	 Percentage 0.000476071458326
VB: 32409	 Percentage 3.85724997322
VBD: 16380	 Percentage 1.94951262184
VBG: 17929	 Percentage 2.13387129408
VBN: 18573	 Percentage 2.21051879887
VBP: 19167	 Percentage 2.28121541043
VBZ: 27719	 Percentage 3.29905618833
WDT: 5656	 Percentage 0.673165042073
WP: 3058	 Percentage 0.36395662989
WP$: 0	 Percentage 0.0
WRB: 4195	 Percentage 0.499279941919
